Company,Domain,Description,Preferred Stage,Preferred Sector
Reciprocal Ventures,recvc.com,Reciprocal Ventures: A NY-based VC firm shaping the future of Web3 by empowering developers with smart contract platforms like Solana.,,"Web3, Blockchain"
Primer Sazze Partners,primersazze.com,"Primer Sazze is a venture capital firm that invests in ideas with global ambition across East Asia and North America. They provide mentorship to entrepreneurs, guiding them from their initial steps into entrepreneurship to expanding their vision into a...","Angel, Seed, Early Stage",
Lemniscap,lemniscap.vc,Lemniscap is an early-stage investment firm that focuses on investing in emerging cryptoassets and blockchain startups.,"Angel, Seed, Early Stage","Crypto, Blockchain"
The National Venture Capital Association - NVCA,nvca.org,"The National Venture Capital Association (NVCA) is the premier trade association representing the U.S. venture capital industry. With over 400 member firms, NVCA advocates for the importance of venture capital in the U.S. economy, supports entrepreneur...",,
Crew Capital,crewcapital.co,Crew Capital is a venture capital firm investing in category-defining technology companies with a unique strategy driven by active operator GP's and institutional-grade resources.,,
ECHELON,echelonfund.vc,"ECHELON: A VC Fund of Funds in the TFS Ecosystem, uniting emerging managers with diverse industry backgrounds for a unique investment approach.",,
HashKey Capital,hashkey.capital,"HashKey Capital is a global leader in digital assets and blockchain technology, empowering pioneers to build the open economy and driving industry adoption through investments and support.",,"Crypto, Blockchain"
Carta,team.carta.com,"Carta provides a comprehensive platform that assists innovators throughout their journey from initial concept to initial public offering, focusing on enhancing equity ownership accessibility for a broader audience.","Growth Stage, Late Stage","FinTech, Enterprise, Cloud Computing"
Sapir Venture Partners,sapirvp.com,"Sapir Venture Partners is a pre-seed deep tech VC firm specializing in foodtech, agtech, biotechnology, and other cutting-edge sectors. With a focus on empowering entrepreneurs, they invest in seed-stage companies at the forefront of innovation in vari...","Pre-Seed, Seed","Biotech / Life Sciences, Climate Tech"
StartFast,startfastventures.com,"StartFast Ventures focuses on investing in B2B SaaS companies located outside of major venture capital hubs, aiming to support and back innovative businesses that have the potential to create significant global impact.","Seed, Series A, Series B, Early Stage","FinTech, E-Commerce / Marketplaces"
draper dragon,draperdragon.com,"Draper Dragon, founded in 2006, is a cross-border venture fund connecting Silicon Valley and Asia. Specializing in early-stage disruptive companies, it has a strong track record in technology and healthcare investments.","Angel, Seed, Early Stage",Healthcare
Avalanche VC,avalanche.vc,"Avalanche VC invests early in transformative trends in learning, earning, and ownership, seeking founders with a forward-moving vision.","Pre-Seed, Seed, Series A, Early Stage",
Asymmetry Ventures,asymmetry.vc,"Venture capital firm investing in early stage companies with exceptional defensibility, backing those that push humanity forward.","Angel, Seed, Early Stage",
Alpha Venture Partners,alphavp.com,"Alpha Partners accelerates private technology companies by investing in top tier growth equity rounds with early stage VCs, providing rational and agile capital to fill financing gaps and support rapid growth.","Series A, Series B, Series C+, Early Stage, Growth Stage",
Meridian Street Capital,meridianstreetcapital.com,"Meridian Street focuses on early-stage healthcare investments, strategically supporting founders at the convergence of healthcare and technology from the outset.","Pre-Seed, Seed, Early Stage",Healthcare
Blockchain Builders Fund,blockchainbuilders.fund,"Stanford Blockchain Community Leaders and Lecturers inspiring, building, and investing in blockchain technology for widespread adoption.","Angel, Pre-Seed, Seed, Series A, Early Stage",Blockchain
ennea capital partners,enneacapitalpartners.com,"ennea capital partners serves as a strategic partner for European founders in the travel industry, offering expert guidance and resources to help them build, scale, and successfully exit market-leading travel companies.",,
Compa Capital,compa.xyz,Compa Capital focuses on investing in teams that enable individuals to have ownership and stake in various aspects of the internet.,,"Web3, Blockchain, Creator Economy"
Foresight Ventures,foresightventures.com,"Foresight Ventures is a crypto investment firm dedicated to backing disruptive innovation in blockchain. They manage multiple funds with over $400 million in assets under management, including a VC fund, an actively managed secondary fund, and a privat...",,"Crypto, Blockchain"
Elixir Capital,elixircapital.xyz,Elixir Capital is a digital asset fund that supports founders in the Web3 space by backing those pushing the boundaries of open-source software and decentralized technology. They partner with select protocols to facilitate the development of essential ...,"Seed, Series A, Early Stage","Web3, Blockchain"
LongHash Ventures,longhash.vc,"LongHash Ventures is a Web3 venture fund and accelerator that collaborates with founders to develop tokenomics, governance, and communities, investing in DeFi projects and partnering with Polkadot and Filecoin.","Seed, Early Stage, Growth Stage","Web3, Crypto, DeFi"
Multicoin Capital,multicoin.capital,"Tushar Jain is a thesis-driven investment firm that focuses on making long-term, high-conviction investments in cryptocurrencies, tokens, and blockchain companies that are transforming significant markets.",,"Crypto, Blockchain, FinTech"
Form Capital,formcapital.com,"Form Capital is an early stage fund and design partnership founded by Bobby Goodlatte and Josh Williams. They invest real design expertise alongside seed capital, offering design sprints covering branding, pitch decks, packaging, and product UX flows a...","Angel, Seed, Early Stage","AI, FinTech, Consumer, Big Data, Collaboration / Productivity Tools, E-Commerce / Marketplaces"
Struck Capital,struckcapital.com,"Struck Capital specializes in investing in and developing transformative technology at the seed stage, utilizing proprietary AI and machine learning tools to enhance recruitment processes and connect portfolio companies with top-tier talent.","Seed, Early Stage","AI, Machine Learning"
BAD BITCH EMPIRE,badbitchempire.com,BAD BITCH EMPIRE is a global community venture collective that elevates visionary female leaders to build empires and invest in high-impact female-led businesses. They provide unapologetic worth and wealth for women through investing in Bad Bitch Busin...,"Seed, Early Stage, Growth Stage",Consumer
sage investment group,thesage.ventures,"Sage Investment Group is a small but impactful firm specializing in investment and capital referrals. They have strong relationships with key investors across various sectors and offer cost-effective services, charging only a third of typical brokerage...",,
Shima Capital,shima.capital,Shima Capital is an early-stage global venture firm dedicated to supporting innovative blockchain startups.,"Angel, Seed, Early Stage",Blockchain
VedasLabs,vedaslabs.io,"VedasLabs.io operates a technology-driven social venture platform that facilitates direct connections between founders, investors, and mentors, enabling individuals to learn about and invest in high-impact early-stage startups.","Angel, Seed, Early Stage","Consumer, Social Media"
Sapphire Ventures,sapphireventures.com,"Sapphire Ventures is a leading global technology-focused venture capital firm with over $10.2 billion in assets under management. They partner with visionary teams and venture funds to scale companies of consequence, offering a strategic blend of value...","Series C+, Growth Stage, Late Stage",
youngStartup Ventures,youngstartup.com,"youngStartup Ventures connects innovators, startups, and investors through exclusive Venture Summits, fostering connections for success in the entrepreneurial world.",,
New York Venture Partners,nyvp.com,"New York Venture Partners is a family office that specializes in supporting pre-seed startups through a comprehensive ecosystem that includes financing, mentorship, and strategic marketing consulting, leveraging its extensive experience from over 60 di...","Pre-Seed, Seed",
Wedbush Ventures,wedbushventures.com,"Wedbush Ventures is an early stage venture fund based in Santa Monica, CA, backing visionary problem solvers. We invest in seed and pre-seed stage companies founded by entrepreneurs who are passionate about solving problems in unconventional ways. Comm...","Pre-Seed, Seed, Early Stage","AI, Blockchain, FinTech, Healthcare, Consumer, E-Commerce / Marketplaces"
Latimer,latimer.vc,"Latimer Ventures is a Baltimore-based early-stage Venture Capital Fund that assists Fortune 1000 Companies in making diverse acquisitions. With a focus on increasing capital flow to emerging BIPOC companies, Latimer Ventures aims to eliminate racial an...","Pre-Seed, Seed, Early Stage",
Bliss Enterprises,bliss.enterprises,Bliss Enterprises is a company that focuses on promoting positivity and well-being through its products and services. They offer a range of wellness products and services aimed at enhancing personal growth and fostering a positive environment for indiv...,,"Healthcare, Consumer"
Evolution Private Investment Collective,epic-funds.com,"Epic Funds offers curated private credit and equity fund investments, providing clients with a seamless and confident experience in the private markets.",,
Aiden,aiden.vc,"Aiden Ventures is a venture capital firm that invests in early-stage technology startups. They provide funding, mentorship, and strategic support to help entrepreneurs grow their businesses.","Angel, Seed, Early Stage",
Sixty Degree Capital,sixtydegreecapital.com,"Sixty Degree Capital is an investment company specializing in venture capital and private equity. They focus on investing in biopharmaceuticals, healthcare platforms, and technology, supporting companies across different sectors and stages to drive mea...",,"Healthcare, Biotech / Life Sciences"
Kairos Ventures,kairosventures.com,"Kairos Ventures is a pioneering investment firm that supports and commercializes the world's leading scientific discoveries from top universities and scientists. With a focus on groundbreaking startups in life sciences, physical sciences, and technolog...","Seed, Early Stage, Growth Stage","AI, Biotech / Life Sciences"
50 Partners,50partners.fr,"50 Partners is a leading startup accelerator in France, founded by 50 successful entrepreneurs from companies like BlaBlaCar, Showroomprivee, Le Bon Coin, and more. They provide high-quality mentoring, financing, international connections, networking, ...","Angel, Pre-Seed, Seed, Series A, Series B, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces"
Venture Forward,em6756.ventureforward.org,"Venture Forward is a nonprofit shaping a diverse future for venture capital, supporting investors to empower underrepresented groups in funding innovative founders.",,
BlockTower Capital,blocktower.com,"BlockTower Capital is an institutional investment firm focused on cryptocurrency and blockchain technology. They offer a range of investment strategies including active trading, market neutral strategies, credit investing, and venture capital. Founded ...",,"Crypto, Blockchain"
C2 Ventures,c2ventures.co,"C2 Ventures is an early stage investment platform that bridges the gap between founders and capital by providing support, connections, and experience. They partner with Pre Series A companies developing enterprise software and robotics solutions for le...","Angel, Pre-Seed, Series A, Early Stage","Enterprise, Robotics"
Northzone,northzone.com,"Northzone is a technology investment partnership with over two decades of experience. They have invested in over 120 companies, focusing on disruptive businesses tackling challenging problems. With offices in London, Stockholm, Oslo, and New York, Nort...","Pre-Seed, Seed, Series A, Early Stage",
Boldstart Ventures,boldstart.vc,"Boldstart Ventures is a day one partner and true believer for developer-first, crypto infra, and SaaS founders, providing early-stage funding and support to turn bold ideas into iconic companies.","Angel, Seed, Series A, Early Stage","Blockchain, FinTech"
Commerce Ventures,commerce.vc,Commerce Ventures is a venture capital firm empowering technology innovators in retail and financial services to shape the future of industries through strategic investments and partnerships.,,"FinTech, E-Commerce / Marketplaces"
a16z crypto,a16zcrypto.com,a16z crypto is a leading venture capital fund specializing in investments in crypto and web3 startups since 2013. They support innovative entrepreneurs shaping the future of the internet and provide valuable insights on all things crypto and web3 throu...,"Angel, Seed, Early Stage","Web3, Crypto, Blockchain"
Eden Holdings,edenholdingsinc.com,"ED3N Ventures is a leading web3 venture studio dedicated to building projects that enable the open metaverse. They work with founders to develop solid business and web3 strategies, provide expertise, funding, and access to a strategic network of partne...","Angel, Seed, Early Stage","Web3, Metaverse, E-Commerce / Marketplaces"
Dissent Capital,dissentcap.com,Dissent Capital is a financial services company that provides investment management and advisory services to clients. They specialize in offering personalized investment strategies to help clients achieve their financial goals.,,
TIA Ventures,tiaventures.com,TIA Ventures is a NYC-based seed stage venture capital fund focused on scaling B2B software companies with a customer-centric approach and proven success in generating top-quartile returns.,"Pre-Seed, Seed, Early Stage","FinTech, E-Commerce / Marketplaces"
Side Door Ventures,sidedoorventures.co,"Side Door Ventures is a global venture capital firm that invests in audacious founders across various sectors such as software, life sciences, space, blockchain, and more. They aim to back companies that are transforming industries and improving lives ...",,"Blockchain, Biotech / Life Sciences, Space Tech"
Fayerweather Capital Partners,fayerweathercapital.com,Fayerweather Capital Partners is an alternative investment firm and multi-family office.,,
General Catalyst,generalcatalyst.com,"General Catalyst is a venture capital firm that focuses on making early-stage and transformational investments in innovative technology companies and market-leading businesses, supporting exceptional entrepreneurs in their pursuit of powerful, positive...","Angel, Seed, Early Stage","Web3, AI, DeFi, Blockchain, FinTech, Healthcare, Consumer, Metaverse, Big Data, Cloud Computing, Cybersecurity, Social Media, Creator Economy, E-Commerce / Marketplaces, Climate Tech, Mobility / Transportation, Robotics, Defense Tech"
Workplace Accelerator,workplaceaccelerator.com,"Workplace Accelerator is a premier platform dedicated to accelerating HR Tech businesses across South East Asia through curated mentors, connections, and a structured 12-week program. They focus on shaping the future of work by providing expertise in W...","Pre-Seed, Seed, Early Stage","FinTech, Collaboration / Productivity Tools"
Champel Capital,champelcapital.com,"Champel capital focuses on investing in entrepreneurs and their visions, prioritizing the development of innovative companies that address real market needs in expansive and growing sectors, particularly those leveraging deep technology to establish si...","Pre-Seed, Seed, Series A, Series B, Early Stage","AI, Blockchain, FinTech, Healthcare, Big Data, Cybersecurity, Climate Tech, Mobility / Transportation, Robotics"
Lead Block Partners,leadblockpartners.com,"LeadBlock Partners is a European venture capital fund focusing on Blockchain & Digital Assets. They support high-quality founders in Web3 from protocol/product build to token launch and mass adoption, with a focus on corporate and institutional blockch...","Seed, Series A, Early Stage","Web3, Blockchain"
ADAMANT INVESTMENT PARTNERS,aipinvest.com,"AIP is an international investment and advisory firm specializing in commodities and artificial intelligence. They offer a wide range of services including principal investment, capital raising, business development, incubation, deal screening, and hum...",,"AI, FinTech, Machine Learning"
Ocean Azul Partners,oceanazulpartners.com,Ocean Azul Partners is an early stage venture capital firm focused on investing in founders building the future. They are passionate about supporting entrepreneurs in bringing innovative technology solutions to market and providing significant value to...,"Pre-Seed, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Healthcare, Cloud Computing, Cybersecurity"
Umami Capital,umamicap.com,Umami Capital is a multicultural venture syndicate supporting diverse founders with investments from top funds and angels.,,
Delta,deltafund.io,"Delta Blockchain Fund is an early stage venture capital fund founded in 2021 by World Bank, International Finance Corporation (IFC), and ConsenSys alumna Kavita Gupta. The fund supports developers and visionaries in building a decentralized world by in...","Pre-Seed, Seed, Series A, Early Stage","DeFi, Blockchain, FinTech"
Clout Fund,cloutfund.vc,"Clout Fund is a venture capital firm that specializes in backing the future. We provide funding and support to startups in the venture capital and private equity sectors, with a focus on consumer e-commerce. Our team of principals has extensive experie...","Seed, Series A, Early Stage","Consumer, E-Commerce / Marketplaces"
Anthos Capital,anthoscapital.com,Anthos Capital is a private investment firm supporting dynamic entrepreneurs in building disruptive companies across multiple industries.,,
Geekcartel,geekcartel.org,"Geekcartel Ventures Incubation. BUIDL by Geeks, for Geeks. Venture Capital and Private Equity Principals",,
1 Main Capital,1maincapital.com,"1 Main Capital is a long biased investment partnership founded by Yaron Naymark. They invest in high quality, attractively valued, growing businesses with a focus on the long term. The company is experienced, patient, flexible, disciplined, and concent...",,
Goat Capital,goat.vc,GOAT CAPITAL founder @goat_capital @fractalwagmi @rye advising/ investing @detecttest @twitter @square @sleeperhq @tryramp @uber @xiaomi Greatest venture fund of all time. Software Development,"Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Healthcare, Cloud Computing, Cybersecurity"
SignalFire,signalfire.com,"SignalFire is a venture capital firm that leverages technology and data-driven insights to provide comprehensive support and resources for startups, from initial funding to scaling operations.","Seed, Series A, Series B, Early Stage, Growth Stage",
Arka,arka.ventures,"ARKA Ventures is a venture capital firm specializing in real estate and property technology. They invest in innovative companies like Mine Furniture, Up&Up, Fantasmo, Inspectify, and Remarkably, providing solutions in furniture retail, rent-to-own plat...","Pre-Seed, Seed, Series A, Early Stage",
New,pointolema.com,"Point Olema is a multi-family investments office creating institutional, endowment-style portfolios for long-term wealth sustainability.",,
TinyTap,animocabrands.com,"Animoca Brands is a leading digital entertainment company specializing in blockchain games, traditional games, and NFT-related products. With a diverse portfolio of popular global brands like Disney, WWE, and The Walking Dead, Animoca Brands is also a ...","Seed, Series A, Series B, Early Stage, Growth Stage","Web3, DeFi, Blockchain, NFTs"
HYPERPYRA,hyperpyra.xyz,HYPERPYRA is a web3 firm dedicated to researching and selecting outstanding digital assets within the emerging alternative financial landscape.,,"Web3, Crypto"
Beresford Ventures,beresfordventures.com,"Beresford Ventures, founded in 2018 by Floridian entrepreneurs, is an early-stage fund that has invested $9 million in over 140 companies across various sectors and geographies. With a unique approach of investing their own funds and being closed to ou...","Angel, Seed, Early Stage",
Brand Velocity Partners,brandvelocitygroup.com,"Brand Velocity Group focuses on delivering exceptional returns to its investors by identifying and supporting businesses with defensible, differentiated products or services that demonstrate consistent growth and profitability, leveraging its marketing...","Seed, Series A, Early Stage, Growth Stage",
Sentor Investments,sentorinvestments.com.au,"Sentor Investments is a private investment company focused on domestic and international private equity, venture capital, and listed equity investment. They target growth stage companies with proven revenue models and aim to assist portfolio companies ...",Growth Stage,
Blockwall Capital,blockwall.vc,,,
Green Park & Golf Ventures,gpgventures.com,"Green Park & Golf Ventures specializes in identifying and investing in medical-related startups, leveraging over 60 years of operational and financial expertise to provide strategic solutions and financial backing to its portfolio.","Angel, Seed, Series A, Early Stage",Healthcare
Fifth Down Capital,fifthdown.com,High conviction investment team with 30+ years of experience in generational companies.,,
Litvc,litvc.com,"Litquidity Ventures invests in early stage, technology-enabled startups across diverse verticals. Leveraging a robust network and unique industry insights, we empower visionary founders who are disrupting the status quo. Our team of entrepreneurs, inve...","Angel, Seed, Early Stage",
Platinum Group of Companies Inc,platinumgroup.org,"Emerging Ventures Capital is a SoCal-based VC fund investing in seed-stage tech startups in the US and Canada, focusing on emerging technologies to solve business challenges.","Angel, Seed","AI, Blockchain, FinTech, Healthcare, Consumer, Big Data, Cloud Computing, Cybersecurity"
Allied Venture Partners,allied.vc,"Allied Venture Partners is one of Canada's largest angel investor networks, supporting software and technology companies across Canada and the United States. They are an early stage venture syndicate investing in Seed and Series A software and technolo...","Angel, Seed, Series A, Early Stage","AI, FinTech, Healthcare, Cloud Computing, E-Commerce / Marketplaces"
Dragonfly 44 Capital,dragonfly44.capital,"Dragonfly 44 Capital specializes in supporting the growth and development of the world’s strongest companies changing the landscape of mental health. With a deep knowledge of neuropsychiatry, mental healthcare, psychedelics, longevity, and wellness, Dr...","Seed, Series A, Early Stage, Growth Stage","Healthcare, Biotech / Life Sciences"
Propel Venture Partners,propel.vc,"Propel Venture Partners is a Bay Area-based fintech and web3 investor with over two decades of experience in early stage investing, specializing in the new financial economy.","Pre-Seed, Seed, Series A, Early Stage","Web3, FinTech"
Alpha Square Group,alphasquaregroup.com,"Alpha Square Group specializes in developing innovative technology solutions that bridge the gap between the physical and digital realms, offering a range of services including a social networking app for image messaging, an augmented reality platform,...",,"AI, Enterprise, Social Media"
Climatecap,climatecap.co,"Climate Capital is an early stage climate tech VC that has been backing emissions reduction and adaptation since 2015. With a platform approach spanning funds and syndicates, they offer investment opportunities in Seed, Growth, Bio, and Syndicate secto...","Seed, Early Stage, Growth Stage",Climate Tech
Powerhouse Capital,powerhouse.vc,"Powerhouse Capital is a venture capital fund based in Los Angeles that focuses on investing in global technology opportunities within the media, entertainment, sports, and gaming sectors.",,"AI, Consumer"
Embark Ventures,embark.vc,Embark Ventures is a Los Angeles-based venture capital firm specializing in early-stage investments in deep tech companies. They seek out ambitious teams with breakthrough proprietary technology to transform multi-billion dollar industries. Their speci...,"Pre-Seed, Seed, Early Stage","AI, Blockchain, FinTech, Big Data, Machine Learning, Cloud Computing, Cybersecurity, Robotics"
Crescite Ventures,cresciteventures.com,Crescite Ventures invests in early-stage companies solving real problems with a focus on innovation and growth.,"Angel, Seed, Early Stage",
Mana Ventures,manaventures.vc,"Mana Ventures focuses on creating a collaborative network of founders, investors, and industry specialists to drive innovation and redefine various industries through technology and shared expertise.",,
Entrepreneur First,joinef.com,"Entrepreneur First invests in top technical talent to build startups from scratch, connecting individuals with co-founders and investors to create world-changing companies valued at over $10 billion.","Angel, Pre-Seed, Seed, Early Stage",E-Commerce / Marketplaces
Coherent Capital,coherentcap.com,"Coherent Capital is a data-driven investment bank specializing in disruptive tech, health, and wellness ventures. They provide strategic capital partnership, fundraising expertise, and global network access to accelerate company growth and increase val...",,Healthcare
soonami.io,soonami.io,"Soonami.io is a new generation venture builder that believes in a decentralized future, zero knowledge, and the power of DAOs. They build teams, fund projects, and provide a launchpad for startups in the Web3 and AI space. Their Venturethon program sup...","Angel, Seed, Early Stage","Web3, AI"
SAX Capital,saxcapital.co,SAX Capital is an independent investment advisor that specializes in facilitating direct secondary investments through the AngelList platform.,"Angel, Seed, Early Stage",
Acrylic,archetype.fund,Archetype is an early-stage venture firm that invests in and supports the next generation of crypto founders dedicated to disrupting traditional markets and fostering a decentralized future.,"Angel, Seed, Early Stage",Crypto
Jump Capital,jumpcap.com,"Jump Capital is a thesis-led venture investor specializing in scalable software opportunities in fintech, crypto, IT, and data infrastructure, providing advocacy and support for entrepreneurs with institutional-level resources.","Pre-Seed, Seed, Series A, Series B, Series C+, Early Stage, Growth Stage, Late Stage","Crypto, FinTech, Big Data, Cloud Computing"
Redpoint,redpoint.com,"Redpoint Ventures invests in startups at various stages, partnering with visionary entrepreneurs to create new markets and redefine existing ones, particularly in sectors such as media distribution, infrastructure technologies, and cloud services.","Seed, Series A, Series B, Early Stage, Growth Stage",Cloud Computing
Coolwatercap,coolwatercap.com,"Coolwater Capital is a financial services company that is revolutionizing the way emerging fund managers are launched, built, and scaled. They provide innovative solutions to support the growth of fund managers in the industry.",,
pluralenergy.co,pluralenergy.co,"Plural Energy offers on-chain financing solutions that enable individuals to invest in high-yield clean energy infrastructure projects globally, starting with investments as low as $500.","Seed, Early Stage, Growth Stage","FinTech, Climate Tech"
Ceres Group Holdings,ceresgh.com,"Ceres Group Holdings is a private holding company based in Los Angeles. They partner with leading innovators to create value and drive growth in emerging industries. Their focus areas include venture capital, private equity, and growth equity investmen...",,
Digital Currency Group,dcg.co,"Digital Currency Group serves as an investor and operator in the cryptocurrency industry, focusing on building, buying, and investing in bitcoin and blockchain companies to support emerging talent and accelerate the development of a better financial sy...","Seed, Series A, Series B, Series C+, Early Stage, Growth Stage, Late Stage","Crypto, Blockchain, FinTech"
10x Value Partners,10xvaluepartners.com,"10x Value Partners is a global investor specializing in fast-growing technology companies post-revenue, offering investment, company building, and advisory services.","Growth Stage, Late Stage","FinTech, Healthcare, Consumer"
Fuel Ventures,fuel.ventures,"Fuel Ventures is a leading early stage investor in tech and digital companies, supporting ambitious founders with innovative technologies through hands-on guidance and investments from £150k to £3m.","Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Cybersecurity, E-Commerce / Marketplaces"
VNTR Capital,cioeu99929.email.vntr.vc,"VNTR Capital is a global investment community and syndicate specializing in fast-growing startups, offering exclusive deal flow and co-investment opportunities with a dynamic community of accomplished peers.",,
Conscience VC,conscience.vc,Conscience VC is an early stage firm investing in science empowering humanity. They provide Venture Capital and Private Equity services to support innovative companies in advancing technologies that benefit society.,"Angel, Seed, Early Stage","Healthcare, Biotech / Life Sciences, Climate Tech"
Basis Set Ventures,basisset.ventures,Basis Set Ventures invests in early stage startups using AI to boost productivity and innovation.,"Angel, Seed, Early Stage","AI, Machine Learning, Cloud Computing"
The Chernin Group,tcg.co,TCG invests in early-stage consumer-focused cryptocurrency ventures that aim to shape and define cultural trends.,"Angel, Seed, Early Stage","Crypto, FinTech, Consumer"
Hannah Grey,hannahgrey.com,"Hannah Grey is a venture fund that invests in early-stage, customer-centric founders who are focused on transforming everyday experiences, often engaging with repeat entrepreneurs who demonstrate early traction in emerging markets.","Pre-Seed, Seed, Series A, Early Stage","FinTech, Consumer, E-Commerce / Marketplaces"
Venture5 Media,venture5media.com,"Venture5 Media is a company that focuses on the Edutainment Economy, building, buying, and investing in VC media companies. They reach over 52,000 VCs, family offices, founders, and startup enthusiasts monthly through various media brands, delivering o...",,
Platinum Group Of Companies,platinumgrp.com,Emerging Ventures is a Southern California based venture capital fund that specializes in investing in early stage start-ups. They focus on start-ups that are creating or using emerging technologies to provide innovative solutions. Their portfolio cons...,"Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity, Biotech / Life Sciences, Climate Tech, Robotics"
AIX Ventures,aixventures.com,AIX Ventures is an AI fund and seed stage venture capital firm that partners with top AI startups and practitioners. They focus on investing in Pre/Seed startups and supporting AI-powered companies through their network of AI practitioners and investors.,"Pre-Seed, Seed","AI, Big Data, Machine Learning, Cloud Computing"
Watertower Ventures,watertowerventures.com,"Watertower Ventures is an early stage venture fund based in Los Angeles, California, focusing on investing in and supporting entrepreneurs who are creating industry-defining consumer technology and enterprise software companies. The team at Watertower ...","Angel, Seed, Early Stage","Consumer, Enterprise"
Hutt Capital,huttcapital.com,"Hutt Capital operates as a blockchain venture capital fund of funds platform, collaborating with prominent blockchain VC firms to offer diversified investment opportunities in promising blockchain and cryptocurrency startups worldwide through various i...","Angel, Seed, Series A, Early Stage, Growth Stage","Crypto, Blockchain"
Pantera Capital,panteracapital.com,"Pantera Capital is a pioneering U.S. investment firm exclusively focused on blockchain technology, digital currencies, and blockchain companies. They offer a range of funds with significant returns for investors.",None,"Blockchain, FinTech"
Newmancapital,newmancapital.com,"Newman Capital is a full stack proprietary venture capital firm based in Asia, inspired by the renowned racecar driver and entrepreneur. They seek founders, projects, and technology that drive disruptive change, aiming to invest, mentor, and empower cu...",,
Fundraise.vc,fundraise.vc,"Fundraise.vc is a Capital as a Service platform that connects private investors with venture deals and funds. They offer pre-vetted deal flow for LPs, investors, VCs, and startups, enabling data-driven investments and streamlined fundraising processes ...",,
97212 Ventures,97212.vc,"97212 Ventures is a New York-based seed fund and day one partner for Israeli founders, specializing in investing in top early-stage Israeli startups committed to building category-defining companies in NYC. They provide hands-on tangible value from day...","Angel, Seed, Early Stage",Enterprise
10x Founders,10xfounders.com,10x Founders is a cutting-edge venture capital firm supporting early-stage entrepreneurs in building global businesses. It is a network-driven investor backed by over 200 angels and entrepreneurs. The founding partners have made over 300 investments an...,"Angel, Seed, Early Stage",
Griffin Gaming Partners,griffingp.com,"Griffin Gaming Partners is a prominent venture capital fund dedicated to investing in gaming enterprises that operate at the convergence of content, social platforms, and software infrastructure, managing over $1 billion in assets.",,
Private Equity International,envelope.privateequityinternational.com,"Private Equity International (PEI) is a leading global provider of private equity news and analysis, specializing in the LP/GP nexus. With a dedicated team of journalists in London, Hong Kong, and New York City, PEI offers independent coverage of the g...",,
Gaingels,gaingels.com,"Gaingels is a prominent venture investment syndicate that focuses on promoting diversity and inclusion within the venture capital industry, particularly supporting the LGBTQIA+ community and its allies by co-investing in companies committed to building...","Seed, Series A, Early Stage",
Coughdrop Capital,coughdropcapital.com,"Coughdrop Capital: Early stage venture firm in Bend, Oregon, funding smart founders with ambitious plans.","Angel, Seed, Early Stage",
Keiretsu Forum,keiretsuforum.com,"Keiretsu Forum operates as a global angel investor network, connecting over 2,500 accredited investors across multiple continents to facilitate private equity investments and venture capital opportunities.","Angel, Seed, Early Stage",
Capital Innovators,capitalinnovators.com,"Capital Innovators is a leading accelerator program and venture fund that supports startups globally, offering seed funding, mentorship, and strategic guidance for scaling in technology and consumer products sectors.","Angel, Seed, Early Stage",Consumer
BBQ Capital,bbq.capital,"BBQ Capital strategically invests in early-stage entrepreneurs, hosting events connecting founders and investors, and supporting startups from pre-seed to IPO.","Pre-Seed, Seed, Series A, Early Stage",
Crossbeam,crossbeam.vc,"Crossbeam Venture Partners invests in early-stage startups that are involved in new Internet Economies, Financial Services, or Novel Asset Classes, with a mission to amplify the success of founders and creators.","Angel, Seed, Early Stage","AI, Blockchain, FinTech, E-Commerce / Marketplaces"
H.E.N.R.Y Collective,henrycollective.co,H.E.N.R.Y Collective: Venture capital and private equity firm investing in high-growth companies to support innovation and business growth.,,
Keshif Ventures,keshif.com,"Keshif Ventures, LLC is a private Angel Investing company focusing on early-stage High Tech startups in San Diego, CA, with a mission to support innovative and socially impactful ideas.","Angel, Pre-Seed, Early Stage","AI, FinTech, Healthcare, Consumer, Big Data, Climate Tech, Robotics"
Visible Hands,visiblehands.vc,"Visible Hands is a venture capital firm dedicated to supporting early stage, underrepresented founders in launching high-growth startups. They offer a 14-week virtual accelerator program, funding, community support, and personalized guidance to empower...","Pre-Seed, Seed, Early Stage",
Q Fund,qfund.io,"Q Fund is a Seed to Series A fund that specializes in backing Israeli startups in the Automotive & Mobility, Energy, Logistics, and Industry 4.0 sectors. They support startups by providing deep industry knowledge, local idea validation, product commerc...","Seed, Series A","Consumer, Climate Tech, Mobility / Transportation"
Blue Collective,bluecollective.com,"Blue Collective is a Venture Capital and Private Equity firm that invests in phenomenal people building phenomenal businesses. They provide funding, guidance, and support to help entrepreneurs scale and grow their companies.",,
Galaxy Digital,galaxy.com,"Galaxy is a leading financial services firm in digital assets and blockchain, providing a full range of solutions to institutions and clients worldwide.",,"Crypto, Blockchain"
